Listing_URL,Address,Price,Bedroom,Bathroom,Sqft,Query_Zip_Code,Query_Miles,Longitude,Latitude,Query_Date
https://sfbay.craigslist.org/eby/apa/d/oakland-downtown-oakland-condo/7696789830.html,"9th st, oakland, CA 94607",1900,0,1,600,94607,1.0,-122.27618,37.802327,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-months-cash-credit-on-water/7697737968.html,"40 HARRISON, OAKLAND, CA 94607",2903,1,1,811,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-bed-room-unit-in-new-building/7696144224.html,"988 Franklin Street, Oakland, CA 94607",1800,1,1,660,94607,1.0,-122.272136,37.801589,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-the-real-deal-live-work-with/7697730129.html,"Perlata Street, Oakland, CA 94607",2625,1,1,1678,94607,1.0,-122.29017,37.816599,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-modern-style-of-living/7698254002.html,"1919 Market Street, Oakland, CA 94607",2293,2,2,891,94607,1.0,-122.280088,37.811935,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-studios-bedrooms-for-up-to/7696751065.html,"40 Harisson, Oakland, CA 94607",2070,0,1,521,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-month-cash-discount-on/7697852494.html,"40 HARRISON ST, OAKLAND, CA 94607",2072,0,1,521,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-ask-us-about-our-move-in/7697913406.html,"570 21st Street, Oakland, CA 94612",1938,0,1,344,94607,1.0,-122.270976,37.811004,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-explore-lampwork-lofts-open/7696196985.html,"1614 Campbell Street, Oakland, CA, USA, West Oakland, CA 94607",2001,0,1,625,94607,1.0,-122.2851,37.8071,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-feel-at-peace-with-forma/7697782804.html,"2016 Telegraph Ave, Oakland, CA 94612",2101,0,1,524,94607,1.0,-122.269221,37.809881,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-family-all-together/7698178396.html,"1919 Market Street, Oakland, CA 94607",2480,4,2,840,94607,1.0,-122.279098,37.811764,2023-16-12
https://sfbay.craigslist.org/eby/apa/d/oakland-bedroom-great-location/7697884828.html,Unknown,3100,2,1,1100,94607,1.0,-122.2851,37.8071,2023-16-12
